,,,22/03,,,,23/03,,,,24/03,,,,25/03,,,,,,,,,,,,,
,,,Q1,Q2,Q3,FY,Q1,Q2,Q3,FY,Q1,Q2,Q3,FY,Q1,Q2,Q3,,,,,,,,,,,
売上高,,,925,997,"1,041","1,066","1,063","1,198","1,250","1,352","1,292","1,349","1,474","1,822","1,486","1,554","1,721",,,,,,,,,,,
,CGS事業,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fonddesk,,133,137,167,176,137,167,176,180,202,207,215,211,237,242,255,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,フォト,,134,126,115,170,126,115,170,162,157,133,203,234,169,163,236,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJSS,,520,553,585,609,553,585,609,640,673,710,723,769,762,789,827,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他,,138,181,175,111,247,331,295,370,261,300,334,608,319,360,403,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上原価,,,272,288,319,311,290,332,350,396,327,354,412,597,441,465,523,,,,,,,,,,,
売上総利益,,,272,709,723,754,773,865,900,956,966,995,"1,062","1,225","1,045","1,089","1,198",,,,,,,,,,,
販管費,,,633,694,775,979,820,841,831,992,728,704,727,765,986,971,954,,,,,,,,,,,
営業利益,,,-361,15,-53,-224,-47,24,69,-36,238,291,335,460,60,119,244,,,,,,,,,,,
,fonddesk営業利益,,-79,-4,11,35,-4,11,35,-73,62,62,75,69,5,15,86,,,,,,,,,,,
,フォト営業利益,,-76,-64,-82,-49,-64,-82,-49,-47,6,-23,12,43,-4,-40,-24,,,,,,,,,,,
,NJSS営業利益,,143,189,213,262,189,213,262,257,324,381,387,402,296,357,366,,,,,,,,,,,
,その他営業利益,,-13,-11,-12,-15,-11,-12,-15,-13,-11,-11,-10,-10,-15,-31,-14,,,,,,,,,,,
,調整金,,-200,-157,-105,-165,-157,-105,-165,-160,-143,-117,-130,-43,-223,-183,-170,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FY22/3,,,,FY23/3,,,,FY24/3,,,,FY25/3,,,,,,,,,,,,,
,人件費_売上原価,,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,,,,,,,,,,,
,人件費_販売管理費(含む採用費),,95,109,93,106,95,105,111,114,99,102,111,174,142,147,141,,,,,,,,,,,
,広告宣伝費,,303,321,339,376,369,378,383,394,372,361,383,392,494,480,513,,,,,,,,,,,
,システム関連委託費(SES等),,71,78,113,129,141,130,67,72,102,106,96,80,221,199,144,,,,,,,,,,,
,一時費用,,85,107,106,113,95,67,11,15,23,15,11,7,16,24,13,,,,,,,,,,,
,合計,,-,-,-,-,-,-,251※2,-,-,-,-,54※3,-,-,-,,,,,,,,,,,
,,,555,617,653,720,696,692,829,598,585,602,602,709,876,868,813,,,,,,,,,,,
,事業別従業員数推移,,,,,,,,,,,,,,,,,,,,,,,,,,,
,・ブレインフィード,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fondesk,,69,72,77,84,88,88,91,91,94,93,96,100,124,125,130,,,,,,,,,,,
,えんフォト・OurPhoto,,11,12,12,11,14,13,13,13,12,12,12,12,14,13,13,,,,,,,,,,,
,BPO,,24,26,26,29,32,31,30,31,32,32,33,29,35,37,39,,,,,,,,,,,
,シュフティ,,31,31,29,30,29,29,30,31,33,33,32,32,36,36,35,,,,,,,,,,,
,コーポレート他,,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,,,,,,,,,,,
,合計,,21,23,24,23,27,29,31,31,31,33,36,34,38,45,48,,,,,,,,,,,
,,,162,170,174,183,194,194,199,201,206,207,213,211,251,262,268,,,,,,,,,,,
,NJSS有料契約件数の推移（,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJSS(下段),,,,,,,,,,,,,,,,,,,,,,,,,,,
,nSearch(上段),,"4,139","4,388","4,480","4,704","4,968","5,183","5,398","5,722","5,980","6,247","6,377","6,567","6,756","6,880","7,028",,,,,,,,,,,
,合計,,-,-,-,-,-,-,-,423,485,550,565,566,578,587,606,,,,,,,,,,,
,,,"4,139","4,388","4,480","4,704","4,968","5,183","5,398","6,145","6,465","6,797","6,942","7,133","7,334","7,467","7,634",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fondesk有料契約件数の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2,552","2,814","3,105","3,315","3,550","3,718","3,896","4,054","4,272","4,469","4,682","4,794","4,980","5,167","5,422",,,,,,,,,,,
,fondesk ARPU,,,,,,,,,,,,,,,,,,,,,,,,,,,
,固定料金,,,,,,,,,,,,,,,,,,,,,,,,,,,
,従量課金,,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",,,,,,,,,,,
,合計,,"3,361","3,074","2,920","2,230","2,840","4,987","4,810","5,056","5,725","5,274","5,412","4,676","5,845","5,582","5,681",,,,,,,,,,,
,,,"13,361","13,074","12,920","12,230","12,840","14,987","14,810","15,056","15,725","15,274","15,412","14,676","15,845","15,582","15,681",,,,,,,,,,,
,えんフォト 契約園数・園当たり売上高の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,
,契約園数（園）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,園当たり売上高（円）,,"3,072","3,207","3,318","3,662","3,757","3,835","3,942","4,186","4,339","4,525","4,624","4,725","4,845","4,947","5,028",,,,,,,,,,,
,OurPhoto 撮影件数の推移,,(記載なし),(記載なし),"28,983","31,079",(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),(記載なし),"34,645",,,,,,,,,,,
,撮影件数,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"4,022","3,206","9,648","2,760","4,551","3,165","9,381","3,138","3,977","2,813","9,257","3,085","3,669","2,762","9,051",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
